ssn,age,education,marital-status,relationship,sex,income
805-15-9704,20.0,11th,Never-married,Own-child,,
359-12-1621,64.0,Some-college,,Husband,Male,<=50K
029-85-2579,41.0,Some-college,Married-civ-spouse,Husband,,
042-44-4717,59.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
379-26-9041,21.0,HS-grad,Never-married,Own-child,Female,<=50K
325-27-6412,25.0,Some-college,Divorced,Not-in-family,,>50K
307-27-8869,23.0,HS-grad,Married-civ-spouse,Husband,,<=50K
767-35-2579,79.0,,Married-civ-spouse,Husband,,>50K
741-76-9041,34.0,Bachelors,Never-married,Not-in-family,,
303-43-9803,24.0,Masters,Married-civ-spouse,Husband,,
733-16-9532,57.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
281-72-6043,42.0,HS-grad,,,Male,
361-94-7174,25.0,Some-college,,Husband,,<=50K
223-00-3685,70.0,,Married-civ-spouse,Husband,,
682-27-8869,56.0,Assoc-acdm,Married-civ-spouse,Wife,,<=50K
360-93-3660,59.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
360-74-9385,19.0,,,Own-child,Female,<=50K
574-07-8623,24.0,Assoc-voc,Never-married,,Female,<=50K
103-56-2653,31.0,HS-grad,,Not-in-family,Female,
020-57-7395,19.0,,Married-spouse-absent,Own-child,,
413-02-2112,63.0,,Divorced,Unmarried,,
325-52-2112,36.0,,Married-civ-spouse,Husband,Male,>50K
908-35-3807,52.0,,Married-civ-spouse,,Male,
500-61-4250,45.0,,,,,>50K
573-86-3635,51.0,Bachelors,Married-civ-spouse,,,<=50K
686-85-5036,17.0,HS-grad,,Own-child,Male,<=50K
612-40-7861,46.0,Assoc-acdm,Married-civ-spouse,Wife,,
426-87-3463,51.0,Assoc-acdm,Divorced,Unmarried,,
164-06-6338,21.0,9th,Married-civ-spouse,,,
991-43-1202,28.0,Masters,Married-civ-spouse,,,<=50K
981-38-8205,52.0,,Married-civ-spouse,Husband,Male,
920-14-7419,39.0,Bachelors,Never-married,Own-child,,<=50K
610-50-3684,39.0,,Divorced,,,
363-23-7100,37.0,Some-college,Married-civ-spouse,Husband,Male,
815-57-1252,19.0,Some-college,Divorced,,Female,
030-12-8992,,Prof-school,Widowed,,Male,
141-83-0466,26.0,Assoc-voc,Divorced,,,<=50K
266-24-6928,29.0,Some-college,Divorced,Not-in-family,Female,
575-24-5699,29.0,,Never-married,Own-child,Male,<=50K
291-64-6191,24.0,,Married-civ-spouse,Wife,,
558-78-3783,28.0,HS-grad,,,Male,<=50K
457-18-6731,32.0,HS-grad,Married-civ-spouse,,Male,>50K
224-57-0024,,Bachelors,Married-civ-spouse,Husband,,
438-32-9237,29.0,HS-grad,Married-civ-spouse,Wife,,
216-21-6216,40.0,Bachelors,Divorced,Not-in-family,Male,<=50K
521-52-9483,30.0,12th,Never-married,Not-in-family,,>50K
121-40-6633,38.0,HS-grad,Married-civ-spouse,Husband,,>50K
344-59-4594,52.0,7th-8th,Married-civ-spouse,Wife,,
439-40-4176,33.0,HS-grad,Never-married,Own-child,,
692-69-0416,23.0,Bachelors,Never-married,Not-in-family,,<=50K
755-62-0392,32.0,10th,Married-civ-spouse,Husband,,>50K
758-10-8107,23.0,HS-grad,Married-civ-spouse,,Male,
835-04-2996,46.0,,Married-civ-spouse,,Male,
444-80-9581,38.0,,Divorced,Unmarried,Female,<=50K
738-63-6362,68.0,,Married-civ-spouse,Husband,Male,
463-20-6387,28.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
151-25-9213,43.0,Some-college,,Husband,,>50K
554-94-4716,53.0,HS-grad,Married-spouse-absent,,Female,<=50K
193-27-3955,52.0,,Separated,,Male,
850-89-0662,36.0,Bachelors,,Husband,Male,>50K
827-36-4864,33.0,Masters,,Unmarried,,<=50K
344-28-7468,50.0,,Married-civ-spouse,Husband,Male,
493-82-6780,45.0,,Married-civ-spouse,Husband,,>50K
229-39-1891,59.0,Masters,Married-civ-spouse,Husband,,
429-20-7616,39.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
791-79-9753,38.0,Assoc-voc,,Husband,,<=50K
976-44-3487,42.0,,Divorced,Not-in-family,Male,
698-89-4348,32.0,,Married-civ-spouse,Husband,,
906-17-3217,30.0,Bachelors,Never-married,Not-in-family,Female,<=50K
289-64-9876,64.0,,Married-civ-spouse,Husband,Male,
388-02-2112,70.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
000-79-8525,63.0,,Married-civ-spouse,Husband,Male,
087-71-4987,20.0,,Never-married,,Female,
319-77-8869,55.0,Bachelors,Married-civ-spouse,Wife,Female,
873-21-8672,30.0,Assoc-acdm,Widowed,Not-in-family,Male,<=50K
865-23-3414,27.0,,Never-married,Unmarried,,<=50K
298-71-0073,,HS-grad,,Own-child,Male,
905-62-0392,21.0,HS-grad,Never-married,Own-child,Male,
020-11-6707,18.0,Bachelors,Never-married,Own-child,,
524-07-8623,21.0,7th-8th,Divorced,Not-in-family,Male,<=50K
096-65-2334,31.0,Doctorate,Married-civ-spouse,Husband,,<=50K
741-73-8328,37.0,HS-grad,Married-civ-spouse,Husband,Male,
645-11-6706,31.0,Prof-school,,Husband,Male,<=50K
203-13-2677,21.0,Some-college,Married-civ-spouse,,Male,<=50K
505-98-8942,63.0,HS-grad,Married-civ-spouse,Husband,,<=50K
419-62-5306,36.0,,Married-civ-spouse,Husband,Male,
042-62-8992,52.0,Some-college,Separated,,Male,
862-96-0687,29.0,HS-grad,Married-civ-spouse,Husband,Male,
223-98-6486,55.0,HS-grad,Divorced,,Male,<=50K
357-58-5994,21.0,Some-college,Never-married,Own-child,Male,
372-51-2284,63.0,Bachelors,,Husband,,
321-62-1621,28.0,,Widowed,Not-in-family,Female,<=50K
153-83-9066,41.0,Bachelors,Married-civ-spouse,Wife,,>50K
294-41-0319,57.0,HS-grad,Separated,Not-in-family,,
597-60-4422,,Some-college,Married-civ-spouse,Husband,,
509-42-8746,,,Married-civ-spouse,Husband,,>50K
717-38-3291,,,Married-civ-spouse,Husband,Male,>50K
585-01-2284,36.0,Some-college,Married-civ-spouse,Husband,,
251-13-6363,34.0,,Married-civ-spouse,Husband,,
151-87-3464,67.0,,Divorced,Not-in-family,,<=50K
973-89-4347,41.0,,Married-civ-spouse,,Male,>50K
142-26-0442,20.0,5th-6th,Never-married,Own-child,Male,
510-93-3660,48.0,,Married-civ-spouse,Husband,Male,>50K
833-72-2357,23.0,,,,,<=50K
077-18-0589,58.0,,Never-married,Unmarried,Female,<=50K
380-52-8255,24.0,11th,Divorced,Not-in-family,Female,
538-66-7075,45.0,,Never-married,Not-in-family,Female,<=50K
706-91-0318,23.0,12th,Never-married,Own-child,Male,<=50K
682-98-5257,40.0,HS-grad,Never-married,Own-child,Male,<=50K
961-39-4347,34.0,Some-college,,Not-in-family,,<=50K
756-87-9606,45.0,10th,Never-married,Not-in-family,,
029-51-4741,30.0,Some-college,,Husband,,
842-26-0441,45.0,HS-grad,Divorced,Unmarried,Male,<=50K
292-07-6166,60.0,Bachelors,Married-civ-spouse,Wife,,>50K
338-69-7788,22.0,Bachelors,Never-married,Not-in-family,,<=50K
923-98-6485,40.0,Bachelors,Never-married,,Male,<=50K
774-78-5011,23.0,HS-grad,Married-civ-spouse,Other-relative,Female,
743-67-3217,72.0,,Married-civ-spouse,Husband,,
781-08-1080,46.0,HS-grad,Separated,,,
805-00-6141,68.0,7th-8th,Married-civ-spouse,Husband,Male,<=50K
861-73-2185,41.0,Bachelors,,Unmarried,Female,<=50K
271-46-8058,42.0,HS-grad,Married-civ-spouse,Husband,,<=50K
431-29-6068,23.0,Some-college,Never-married,Other-relative,Male,
599-53-9311,43.0,Bachelors,Married-civ-spouse,Husband,,>50K
159-09-0908,19.0,,,Own-child,Male,<=50K
548-74-0785,26.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
025-03-0712,31.0,HS-grad,,Not-in-family,Male,<=50K
005-80-4668,41.0,HS-grad,Divorced,,,
545-76-1670,34.0,,Divorced,Not-in-family,,<=50K
567-01-4741,,,Divorced,,Male,
675-24-5699,40.0,HS-grad,Married-civ-spouse,Husband,,<=50K
480-71-2530,32.0,,Never-married,,,
345-48-5257,17.0,HS-grad,Never-married,Other-relative,Female,<=50K
740-81-6952,43.0,,Married-civ-spouse,Husband,Male,>50K
359-61-3021,56.0,Bachelors,Divorced,Unmarried,,<=50K
724-01-7198,27.0,HS-grad,,Husband,Male,<=50K
907-12-5306,52.0,7th-8th,Married-civ-spouse,Husband,Male,<=50K
602-11-9164,44.0,HS-grad,,Unmarried,,
930-37-4691,24.0,Some-college,Never-married,Own-child,Female,
434-24-4471,62.0,HS-grad,Never-married,,,<=50K
912-46-9286,46.0,,Married-civ-spouse,Husband,,
028-07-1253,31.0,Bachelors,Never-married,Not-in-family,Male,<=50K
202-51-8427,43.0,Some-college,Divorced,Unmarried,,
325-46-0687,40.0,Bachelors,Never-married,,,>50K
910-59-5822,24.0,HS-grad,Never-married,Own-child,,
676-75-0613,43.0,HS-grad,,,Female,<=50K
954-29-9753,36.0,11th,Never-married,Own-child,,<=50K
884-49-0171,26.0,Some-college,Divorced,,,
305-15-9704,53.0,,Never-married,Not-in-family,Male,
578-10-1965,59.0,,Married-civ-spouse,Husband,Male,>50K
652-05-7738,57.0,,Married-civ-spouse,Husband,Male,
540-14-1277,60.0,HS-grad,Divorced,,Female,>50K
805-86-6092,41.0,Some-college,Divorced,Not-in-family,Female,
461-08-7223,48.0,10th,,Unmarried,Female,
864-89-5576,39.0,,Divorced,,Female,<=50K
448-46-4373,35.0,Some-college,Never-married,Own-child,,
066-24-6928,38.0,,Never-married,Unmarried,,
934-79-7296,36.0,Some-college,,Not-in-family,,>50K
584-09-0908,51.0,Prof-school,Married-civ-spouse,,,
666-00-1227,19.0,Some-college,Married-civ-spouse,,Male,
689-55-7738,52.0,,Divorced,Not-in-family,Female,<=50K
647-75-7984,32.0,Assoc-voc,Divorced,Not-in-family,Female,<=50K
531-32-6780,36.0,Some-college,,Unmarried,Male,<=50K
106-32-6781,42.0,Bachelors,Separated,Not-in-family,,
364-31-2038,,,Married-civ-spouse,,,>50K
755-09-8279,,Some-college,Never-married,,Male,<=50K
871-83-6608,33.0,Bachelors,Never-married,,Female,
866-00-1227,57.0,Assoc-acdm,Married-civ-spouse,Husband,Male,<=50K
967-44-4716,20.0,Some-college,Divorced,,,
919-65-6018,,HS-grad,Married-civ-spouse,Wife,Female,
529-29-9753,27.0,,Never-married,Own-child,,<=50K
733-50-7370,21.0,HS-grad,,Not-in-family,Male,<=50K
270-39-3120,,Assoc-acdm,Divorced,Unmarried,Female,<=50K
297-11-3021,,Bachelors,Never-married,,Male,<=50K
354-79-1154,52.0,Some-college,Married-civ-spouse,Wife,Female,
598-03-4397,63.0,10th,Never-married,Not-in-family,,>50K
433-53-8083,30.0,10th,Married-civ-spouse,Husband,,<=50K
230-80-4668,51.0,Some-college,Never-married,,,<=50K
579-76-0441,32.0,,Never-married,,Male,
873-74-0785,45.0,Some-college,Never-married,Not-in-family,Female,
313-17-5675,53.0,,Never-married,Not-in-family,Female,<=50K
024-72-3587,50.0,Bachelors,Married-civ-spouse,Husband,Male,
744-22-6043,25.0,Assoc-acdm,Never-married,Not-in-family,Female,<=50K
688-29-8525,34.0,Some-college,,Husband,Male,
758-41-5232,21.0,Bachelors,Never-married,,,<=50K
042-35-2579,57.0,Bachelors,Married-civ-spouse,,Male,>50K
594-16-4618,29.0,,Married-civ-spouse,Husband,,<=50K
172-51-2284,51.0,,Never-married,Unmarried,Female,
271-59-0908,,HS-grad,Never-married,Unmarried,Female,<=50K
777-57-9851,69.0,,Married-civ-spouse,Husband,,
163-63-6363,51.0,,Never-married,,Female,
686-21-0073,42.0,Some-college,,Not-in-family,,<=50K
784-98-1571,46.0,Some-college,,,Male,
242-84-3980,,HS-grad,Married-civ-spouse,Husband,Male,>50K
055-92-7518,21.0,,,,,
859-02-9483,25.0,Masters,Married-civ-spouse,Husband,Male,
438-45-2088,56.0,HS-grad,,Not-in-family,Female,>50K
249-99-9999,67.0,Some-college,Divorced,,,<=50K
496-37-5920,65.0,,Separated,Other-relative,Female,<=50K
491-36-9778,32.0,HS-grad,Married-civ-spouse,Wife,Female,
586-11-7935,43.0,Assoc-voc,Married-civ-spouse,Husband,Male,>50K
496-56-0196,36.0,,Married-civ-spouse,Husband,,
776-28-9925,18.0,9th,,Own-child,,
239-64-9876,67.0,Some-college,,,Male,<=50K
497-78-8697,48.0,Prof-school,Divorced,Unmarried,,
535-56-5110,46.0,Assoc-voc,,Unmarried,Male,<=50K
113-85-1351,50.0,HS-grad,Married-civ-spouse,Husband,,<=50K
822-48-1571,21.0,Some-college,Divorced,Not-in-family,Female,
654-76-0441,45.0,HS-grad,Married-civ-spouse,,Female,
229-29-9754,35.0,HS-grad,Divorced,,Male,
506-94-1031,61.0,,Married-civ-spouse,Husband,,<=50K
686-14-8647,23.0,Assoc-voc,,Not-in-family,,
856-32-6780,51.0,,Never-married,Not-in-family,Female,
343-39-6805,43.0,HS-grad,Married-civ-spouse,Husband,,>50K
074-66-2162,29.0,7th-8th,Married-civ-spouse,Wife,,<=50K
375-85-9950,,HS-grad,Divorced,Not-in-family,,<=50K
253-10-1965,17.0,Bachelors,Never-married,Own-child,Female,
581-57-2480,23.0,HS-grad,Divorced,Not-in-family,Female,<=50K
584-70-5159,66.0,Some-college,Married-civ-spouse,Wife,,<=50K
884-61-3021,51.0,,Married-civ-spouse,,Female,<=50K
718-64-2505,22.0,5th-6th,Never-married,,Male,<=50K
184-61-3021,59.0,,,Not-in-family,Female,
125-18-4275,44.0,7th-8th,Married-civ-spouse,Husband,Male,>50K
330-28-2554,55.0,HS-grad,Divorced,Not-in-family,,
982-73-9556,21.0,,,Own-child,,
032-09-4594,31.0,9th,Separated,Unmarried,Female,<=50K
182-67-8132,25.0,,Never-married,Own-child,,<=50K
208-44-5945,33.0,HS-grad,Never-married,Own-child,Female,<=50K
406-05-0368,26.0,,Separated,Not-in-family,Male,
007-37-1007,55.0,HS-grad,Married-civ-spouse,,Male,
615-69-4102,56.0,HS-grad,Married-civ-spouse,,,
045-33-1695,32.0,,Divorced,Own-child,,
737-43-8574,47.0,,Never-married,Not-in-family,,
818-33-5380,41.0,,Married-civ-spouse,Husband,Male,<=50K
139-80-3439,,HS-grad,Never-married,Not-in-family,,>50K
200-36-8550,20.0,,Married-civ-spouse,Own-child,Male,<=50K
342-01-4741,43.0,HS-grad,Married-civ-spouse,Husband,,>50K
871-95-9458,61.0,Bachelors,Married-civ-spouse,Husband,,<=50K
814-61-9163,66.0,Some-college,Married-civ-spouse,Husband,Male,
532-89-3119,30.0,,Divorced,,Male,<=50K
252-61-0564,48.0,Assoc-acdm,,Husband,Male,<=50K
363-75-9213,25.0,Some-college,Never-married,Other-relative,,<=50K
531-63-3906,58.0,Bachelors,,Husband,Male,>50K
894-22-6043,37.0,HS-grad,,,,<=50K
884-70-5158,45.0,HS-grad,,Not-in-family,,<=50K
905-92-7517,49.0,HS-grad,,Husband,Male,
304-97-5429,43.0,Bachelors,Divorced,Unmarried,Female,
283-87-5921,22.0,HS-grad,Separated,Own-child,Male,<=50K
985-44-2259,23.0,,Never-married,Not-in-family,,<=50K
355-49-7542,,Bachelors,Married-civ-spouse,,Male,>50K
541-58-4766,25.0,HS-grad,,Not-in-family,Male,<=50K
573-52-5797,47.0,Some-college,Never-married,,,<=50K
995-30-0981,43.0,Masters,Married-civ-spouse,Husband,,<=50K
523-28-0097,,,,Wife,Female,
229-91-4004,59.0,,Never-married,Not-in-family,Female,<=50K
530-68-1817,67.0,,,Husband,,
439-68-0589,30.0,HS-grad,Never-married,,,<=50K
812-31-5724,33.0,9th,Married-civ-spouse,Husband,Male,
999-44-7173,55.0,HS-grad,Married-civ-spouse,Husband,,
919-99-3856,50.0,Bachelors,Married-civ-spouse,Husband,,>50K
211-08-7223,,,Married-civ-spouse,,Male,
952-05-7738,65.0,,Married-civ-spouse,Wife,Female,<=50K
695-91-5232,72.0,,Married-civ-spouse,,,>50K
162-13-1449,36.0,,Widowed,Unmarried,Male,
121-83-6609,48.0,HS-grad,Never-married,,Male,<=50K
903-07-1252,34.0,,,Husband,Male,>50K
964-86-4863,,12th,Never-married,Own-child,Male,<=50K
017-96-6830,27.0,HS-grad,Divorced,,,<=50K
531-78-7468,35.0,,,,,
669-93-2431,,Bachelors,Widowed,,Male,
365-60-1965,18.0,Some-college,,Other-relative,Female,
366-30-8353,39.0,HS-grad,,Husband,Male,>50K
222-75-7985,25.0,,Never-married,Not-in-family,Male,<=50K
304-20-7616,41.0,10th,,Wife,Female,
247-88-0835,27.0,,Never-married,,Male,<=50K
208-10-8107,43.0,HS-grad,Never-married,,Female,
020-82-3095,,Bachelors,Married-civ-spouse,Husband,,<=50K
172-48-1572,59.0,,,Own-child,,<=50K
820-79-2382,47.0,,Never-married,,Male,<=50K
675-95-2087,,11th,Never-married,Not-in-family,,<=50K
455-25-1842,62.0,11th,Married-civ-spouse,Husband,,
723-00-3684,32.0,,Married-civ-spouse,Wife,Female,<=50K
388-75-9213,45.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
878-83-9065,50.0,Assoc-acdm,Divorced,Other-relative,,<=50K
361-91-6461,,Some-college,Never-married,Not-in-family,Female,<=50K
078-68-5503,32.0,HS-grad,Married-civ-spouse,Wife,,<=50K
740-32-5552,44.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
524-01-7198,,HS-grad,,Unmarried,Female,<=50K
417-53-6854,22.0,,Never-married,Not-in-family,,<=50K
105-43-6117,28.0,,Never-married,Own-child,Male,<=50K
412-68-4274,40.0,,Married-civ-spouse,Husband,,>50K
885-99-5085,51.0,HS-grad,Married-civ-spouse,Husband,,
410-28-8697,25.0,HS-grad,Never-married,Own-child,Male,
874-23-2185,42.0,Assoc-acdm,Married-civ-spouse,,,<=50K
361-97-7886,32.0,11th,Married-civ-spouse,Husband,Male,
203-62-4078,47.0,,Separated,Not-in-family,Male,
563-23-7100,29.0,9th,Never-married,,,
414-40-4176,24.0,Assoc-voc,Married-civ-spouse,Wife,,>50K
066-40-0491,19.0,,Never-married,Own-child,,
826-47-4200,57.0,Some-college,Never-married,,Female,
463-85-1350,42.0,Masters,Divorced,,Male,<=50K
043-45-8230,35.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
274-38-5749,25.0,Bachelors,Never-married,Own-child,Female,
282-43-2432,34.0,,,,,
014-86-4864,27.0,9th,Never-married,Own-child,Male,<=50K
452-30-3439,46.0,,Married-civ-spouse,Wife,,
721-28-3783,31.0,,Married-civ-spouse,,Male,
817-38-3291,74.0,Masters,,Husband,,
903-68-5502,33.0,Some-college,Never-married,Unmarried,,<=50K
847-66-5846,,,Married-civ-spouse,Husband,,>50K
208-29-2383,23.0,,Never-married,Own-child,,
849-20-1473,60.0,Some-college,Never-married,Not-in-family,,
467-84-3979,60.0,Bachelors,Married-civ-spouse,Husband,Male,
130-09-8279,45.0,HS-grad,Never-married,Not-in-family,,<=50K
042-93-6117,,Some-college,Never-married,Own-child,Female,
005-43-6117,36.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
721-31-4495,,Some-college,,Own-child,Female,<=50K
611-48-6485,32.0,Bachelors,Never-married,Own-child,Male,<=50K
931-08-1080,20.0,Assoc-acdm,Never-married,,Male,<=50K
458-96-8058,28.0,,,Unmarried,,
345-23-9557,34.0,HS-grad,Never-married,,,<=50K
347-14-3734,55.0,HS-grad,,,,<=50K
129-79-1154,21.0,Bachelors,,Own-child,Female,
041-86-1179,46.0,Bachelors,Married-civ-spouse,Husband,,
800-79-8524,40.0,Some-college,Divorced,Own-child,Male,>50K
864-28-1325,35.0,Some-college,,Wife,,<=50K
062-65-3562,39.0,,,Husband,,<=50K
027-14-9877,18.0,Bachelors,,Own-child,,<=50K
518-64-2505,38.0,HS-grad,Married-civ-spouse,Husband,Male,
683-23-0957,54.0,,Never-married,Not-in-family,Male,
495-33-1694,34.0,Assoc-voc,Never-married,Not-in-family,,
957-58-5994,46.0,,Married-civ-spouse,Husband,Male,
605-03-6854,25.0,HS-grad,,Not-in-family,Male,<=50K
342-78-2554,34.0,Some-college,,,,>50K
186-88-5749,45.0,Masters,Married-civ-spouse,,Male,>50K
444-87-1006,,HS-grad,Married-civ-spouse,Husband,,
651-68-9188,,,,Husband,,<=50K
971-19-1645,34.0,,,Not-in-family,Female,<=50K
675-92-1375,42.0,HS-grad,Married-civ-spouse,,Male,<=50K
238-60-5650,47.0,Assoc-voc,Separated,Not-in-family,Male,
420-82-3095,26.0,,,Own-child,,<=50K
611-51-7198,58.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
583-41-5232,54.0,Some-college,Divorced,Unmarried,,
373-52-5798,28.0,9th,Never-married,Own-child,,<=50K
845-94-5945,31.0,,Married-civ-spouse,Husband,Male,>50K
332-86-2407,34.0,HS-grad,Married-civ-spouse,,Female,>50K
485-31-9409,,Masters,Married-civ-spouse,,Male,
376-25-9213,25.0,Bachelors,Divorced,Not-in-family,,<=50K
733-93-7345,36.0,,Divorced,Not-in-family,Male,
462-74-5699,51.0,,Divorced,,,<=50K
727-14-9876,23.0,10th,,Own-child,,<=50K
396-95-9459,22.0,HS-grad,Separated,Not-in-family,,
653-07-1252,,HS-grad,Divorced,Unmarried,Female,<=50K
208-56-8795,23.0,11th,Married-spouse-absent,Not-in-family,,
461-91-6461,26.0,,Never-married,Not-in-family,,<=50K
249-26-2899,36.0,,Never-married,Not-in-family,,
024-50-8599,55.0,Assoc-voc,Never-married,Own-child,Female,
385-74-9385,27.0,,,Own-child,Male,
108-01-5970,48.0,,Divorced,Unmarried,,
510-53-4397,43.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
255-46-6830,,,Married-civ-spouse,Husband,Male,<=50K
003-71-6216,25.0,HS-grad,Divorced,Not-in-family,Male,<=50K
825-58-3537,79.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
292-72-1129,52.0,Some-college,Married-civ-spouse,Husband,,>50K
500-21-4987,23.0,Some-college,Never-married,Not-in-family,Male,<=50K
162-07-0024,41.0,,,Husband,Male,
240-26-4127,19.0,7th-8th,Divorced,Own-child,Male,
402-14-9876,18.0,Some-college,Never-married,Own-child,Female,<=50K
003-13-2678,60.0,10th,Never-married,,Male,
323-71-0073,54.0,,Never-married,,,
883-20-0244,32.0,HS-grad,Never-married,Own-child,Male,
871-37-5920,24.0,HS-grad,,,Male,<=50K
828-07-1252,,Assoc-voc,Divorced,Own-child,,<=50K
477-76-4127,63.0,Bachelors,Married-civ-spouse,,,<=50K
519-96-3144,20.0,Assoc-voc,Never-married,Own-child,,<=50K
904-51-4741,24.0,9th,Separated,Unmarried,,<=50K
070-85-3808,42.0,,,Wife,Female,
297-38-9434,47.0,HS-grad,,Wife,,
171-74-4471,34.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
336-73-2186,48.0,,Divorced,Unmarried,Female,>50K
562-89-9262,33.0,,Married-civ-spouse,Husband,,
076-13-6363,55.0,Some-college,Never-married,Not-in-family,,
959-67-4446,22.0,Some-college,,Not-in-family,Female,
908-32-3094,44.0,Assoc-voc,,Own-child,Female,<=50K
949-53-9311,42.0,,Never-married,Not-in-family,,
573-74-0785,43.0,11th,,Not-in-family,,<=50K
657-06-3881,35.0,Assoc-voc,Divorced,Unmarried,Female,<=50K
499-63-1449,27.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
288-20-6387,32.0,HS-grad,,,,<=50K
835-19-6559,56.0,7th-8th,,,Male,>50K
901-78-1325,17.0,,Never-married,Own-child,Female,<=50K
832-64-7419,32.0,,Married-civ-spouse,,Male,<=50K
687-80-7124,67.0,Some-college,Never-married,,Female,
981-75-6755,35.0,Masters,Divorced,Unmarried,Female,<=50K
765-84-7665,33.0,Masters,Married-civ-spouse,Husband,Male,<=50K
697-85-0122,18.0,Some-college,,,Male,<=50K
872-11-3021,50.0,HS-grad,Married-civ-spouse,Husband,Male,
588-48-2800,55.0,,Married-civ-spouse,Husband,Male,>50K
412-16-2161,38.0,Masters,Married-civ-spouse,Wife,Female,>50K
730-62-0392,18.0,,Married-civ-spouse,,Male,<=50K
316-03-1940,29.0,HS-grad,,,Male,
733-07-7394,26.0,,,,,
500-58-3537,61.0,Some-college,Married-civ-spouse,Husband,Male,
966-06-2652,45.0,,Married-civ-spouse,,,
751-71-9900,31.0,Some-college,Never-married,Not-in-family,Male,
571-00-7370,47.0,,Widowed,Not-in-family,Female,<=50K
862-65-3561,23.0,HS-grad,,Own-child,Male,
179-88-3292,48.0,Bachelors,Married-civ-spouse,Husband,Male,
001-78-1326,56.0,,Married-civ-spouse,Husband,,
643-67-3218,41.0,HS-grad,Never-married,,,<=50K
771-80-5896,60.0,,Married-civ-spouse,,Male,<=50K
267-87-4692,39.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
222-38-9434,,12th,Never-married,Own-child,Male,
221-00-7370,32.0,Some-college,Never-married,Not-in-family,Male,
826-84-2751,38.0,11th,,Not-in-family,Female,<=50K
909-73-5871,27.0,,Never-married,Not-in-family,,<=50K
316-43-1203,44.0,Some-college,Never-married,Not-in-family,Female,>50K
102-97-9115,45.0,,,Husband,Male,
944-50-2456,,HS-grad,Married-civ-spouse,,Female,<=50K
478-16-3390,33.0,Bachelors,Married-civ-spouse,Husband,,
382-89-3120,35.0,Bachelors,,,Female,
068-08-9680,52.0,,Never-married,Not-in-family,Female,
022-42-0147,39.0,Bachelors,Married-civ-spouse,,Female,<=50K
126-10-5650,31.0,Masters,Married-civ-spouse,,,>50K
772-57-3709,19.0,,Never-married,Own-child,,<=50K
845-17-8131,22.0,Masters,,,Male,<=50K
249-96-9287,66.0,Masters,,,,
413-63-6363,37.0,,Widowed,Unmarried,,<=50K
830-77-3954,25.0,HS-grad,Never-married,,Male,
257-18-6731,41.0,Bachelors,Married-civ-spouse,Wife,,
503-19-4102,27.0,HS-grad,Married-civ-spouse,,,<=50K
857-27-8868,26.0,,,Not-in-family,Male,
969-10-3193,19.0,11th,,Own-child,,<=50K
921-13-0220,22.0,,,Other-relative,,
951-81-2038,53.0,,,Husband,,<=50K
486-21-0073,36.0,,,Not-in-family,,
693-24-3242,40.0,7th-8th,,Husband,Male,<=50K
934-42-8745,36.0,,Married-civ-spouse,,,
587-59-2137,23.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
521-06-8795,60.0,Some-college,,Wife,Female,
920-85-3807,38.0,,Married-spouse-absent,Not-in-family,Male,
904-23-8328,35.0,Some-college,Divorced,Not-in-family,,>50K
955-74-3242,40.0,HS-grad,Widowed,Not-in-family,Male,<=50K
688-88-2063,22.0,10th,,Other-relative,Male,<=50K
018-76-5356,48.0,Some-college,Never-married,Not-in-family,,<=50K
713-05-2824,40.0,HS-grad,Married-civ-spouse,,Female,<=50K
893-61-1792,35.0,Some-college,Married-civ-spouse,,Male,
479-91-4004,30.0,,Widowed,,,<=50K
852-64-1276,45.0,Doctorate,Married-spouse-absent,,Male,<=50K
126-90-4176,28.0,HS-grad,Never-married,Not-in-family,,
297-88-0835,,HS-grad,,Husband,Male,
582-30-9581,48.0,,,Husband,Male,>50K
316-06-2653,33.0,,Divorced,Unmarried,Male,<=50K
069-16-4619,24.0,Bachelors,,,Male,<=50K
018-85-7493,,HS-grad,,Unmarried,Female,<=50K
910-87-2234,20.0,,Separated,Other-relative,Male,
726-87-3463,20.0,10th,Never-married,Own-child,Female,<=50K
916-73-8328,23.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
108-50-7370,46.0,,Never-married,Not-in-family,Male,<=50K
804-57-6166,28.0,Some-college,Never-married,Own-child,Male,<=50K
317-13-7591,49.0,,Never-married,Not-in-family,Male,<=50K
